,Total Images,Total Annotated Images,Total UnAnnotated Images,Total Bounding Box,Domain,Part ID,Part Name
0,416,416,0,2012,livis,61b6eeed003516a5c978328a,Wheel
1,25,24,1,49,livis,61bae9cac70addeda9b5c47b,MCB
2,50,50,0,100,livis,61bc6ba8c70addeda9b5d3a9,MCB001
3,28,28,0,56,livis,61c01994c70addeda9b5ec0d,xc60_c_63A
4,50,50,0,79,livis,61c05306c70addeda9b5f335,xC60
5,100,100,0,27134,livis,61c1768bf1c60badb827256d,Board_PH005
6,111,111,0,203,livis,61c1adc7a11c90c2c5f9b338,Defacto
7,67,51,16,88,livis,61c2d028d6ffdd016ddd066b,Auto
8,20,20,0,292,livis,61c2ee1ad6ffdd016ddd09ea,Bearing
9,16,16,0,744,livis,61c9f6824c57789ea9f6f916,TASL
10,12,12,0,692,livis,61cb0c229f5c1a76a48529dc,TASL
11,98,90,8,218,livis,61cd5fa2a55f34b129181d14,Schneider_MCB
12,39,37,2,267,livis,61ce9dbd4775cceb3df98a27,Housing
13,4,4,0,1540,livis,61d2838ebbeac55c877df25c,Fabric
14,1,1,0,1,livis,61d2d90534356a0b602ab06d,API_part1
15,92,92,0,369,livis,61d3e41ec3743c84bfbb51d7,MCB_6th_Demo
16,36,36,0,84,livis,61d410cc0a26266b773d41c9,PCBA_6th_Demo
17,126,126,0,335,livis,61d4257708f3e625aa6b3b26,Bottle Inspection
18,69,69,0,504,livis,61d43c5808f3e625aa6b3c3f,Rim
19,70,65,5,329,livis,61d4452a08f3e625aa6b3cd6,ACB
20,78,78,0,185,livis,61d5725b64bb6cc45bef4359,PCBA_AB02797892
21,122,50,72,50,livis,61dd26cf64bb6cc45bef4851,Board_PH003
22,476,476,0,560,livis,61dd7dbc64bb6cc45bef49de,boxes
23,63,63,0,147,livis,61dfd50864bb6cc45bef4bbd,METAL
24,100,100,0,152,livis,61dfd60e64bb6cc45bef4c0a,MDV002
25,1140,1140,0,1355,livis,61e26eae64bb6cc45bef4f91,carton box defects
26,35,16,19,415,livis,61e8f13b398792ecff15c543,Board_PH002
27,244,244,0,416,livis,61e8ff64398792ecff15c5e3,Board_PH001
28,54,54,0,142,livis,61fa547d5d3e95fd7dfea9f4,conveyor
29,9,9,0,28,livis,61fcc3605d3e95fd7dfeb035,Bearing
30,0,0,0,0,livis,620617515d3e95fd7dfee0a9,test_11feb
31,748,748,0,1500,livis,620a36705d3e95fd7dfefb05,TASL1
32,1141,1141,0,1757,livis,620a3fa95d3e95fd7dfefdff,base
33,93,92,1,92,livis,620b58385d3e95fd7dff095d,Crank sensera
34,62,62,0,62,livis,620b77725d3e95fd7dff0a1c,Crank-sansera
35,182,182,0,5936,livis,620cf3e65d3e95fd7dff12a8,wistron
36,36,36,0,143,livis,6213380a5d3e95fd7dff1b35,BN321
37,98,96,2,274,livis,6215d2ff5d3e95fd7dff20e1,sansera_stem_bracket
38,426,426,0,1349,livis,6215d6f25d3e95fd7dff20fb,Transfer_learning
39,52,52,0,264,livis,6215d7185d3e95fd7dff2107,ACB_Mechanism
40,168,168,0,345,livis,6215ffc65d3e95fd7dff2450,Outer_ball_joint
41,78,78,0,156,livis,621608745d3e95fd7dff25ad,gear rim blank001
42,105,105,0,105,livis,621720855d3e95fd7dff29ec,maini
43,0,0,0,0,livis,621734dd5d3e95fd7dff2c23,crankshaft
44,523,523,0,573,livis,62175c925d3e95fd7dff2d89,Napino
45,83,83,0,83,livis,62176adb5d3e95fd7dff2da4,push_rod
46,20,20,0,73,livis,621798a95d3e95fd7dff2e83,PCBA_Schneider
47,27,27,0,211,livis,6218a5c95d3e95fd7dff321b,Napino_pin
48,22,22,0,67,livis,621a06745d3e95fd7dff343f,Act5
49,48,48,0,194,livis,621f1e9e7fc5888fec5d6a1a,CNC
50,12,0,12,0,livis,62220c98afb767d240a2aab3,CNC23
51,423,423,0,3259,livis,6226f5925fed20c617f6f0c8,generic-fod
52,71,71,0,212,livis,6226fa865fed20c617f6f1f5,MCB002
53,55,55,0,440,livis,62284695335e02ec7fddb108,crackshaft_001
54,0,0,0,0,livis,622852d52754fe71976fb570,stem-bracket_001
55,75,75,0,75,livis,622857be2754fe71976fb65a,RoofSide-PlasticHousing
56,1564,1260,304,1261,livis,6228722d2754fe71976fbb18,conrod
57,17,7,10,16,livis,622997032754fe71976fc207,UL20-Housing
58,1562,1562,0,5690,livis,622b25fdf71af28538b03b60,smart-ups
59,41,41,0,67,livis,622b48b377305c9b70baee1f,Sansera-Demo-Josh
60,4,2,2,3,livis,622f11d0af77f76e35f7ce81,cnc
61,185,185,0,741,livis,622f17c1af77f76e35f7cec4,Roller-Bearing
62,65,65,0,3068,livis,622f2ad1af77f76e35f7d03e,Stemrod-count001
63,56,56,0,414,livis,6230289eaf77f76e35f7d47e,bluedoor
64,871,870,1,2130,livis,62308b3fe6b9eee633945dfb,Helical-Gear
65,33,33,0,73,livis,62309197e6b9eee63394621b,Metal Insert UKL VDC
