inference_images,inspection_time,status,reason,part_name
"['http://localhost:3306/65d6151d1343987b7e050005_pf.jpg', 'http://localhost:3306/65d6151d1343987b7e050005_pf.jpg']",2024-02-21 20:52:05,Accepted,[],Part1
"['http://localhost:3306/65d6463ceb8d654dde12a7ea_pf.jpg', 'http://localhost:3306/65d6463ceb8d654dde12a7ea_pf.jpg']",2024-02-22 00:21:40,Accepted,[],Part1
"['http://localhost:3306/65d6463deb8d654dde12a7eb_pf.jpg', 'http://localhost:3306/65d6463deb8d654dde12a7eb_pf.jpg']",2024-02-22 00:21:41,Accepted,[],Part1
"['http://localhost:3306/65d6463eeb8d654dde12a7ec_pf.jpg', 'http://localhost:3306/65d6463eeb8d654dde12a7ec_pf.jpg']",2024-02-22 00:21:42,Accepted,[],Part1
"['http://localhost:3306/65d6463eeb8d654dde12a7ed_pf.jpg', 'http://localhost:3306/65d6463eeb8d654dde12a7ed_pf.jpg']",2024-02-22 00:21:42,Accepted,[],Part1
"['http://localhost:3306/65d6463feb8d654dde12a7ee_pf.jpg', 'http://localhost:3306/65d6463feb8d654dde12a7ee_pf.jpg']",2024-02-22 00:21:43,Accepted,[],Part1
"['http://localhost:3306/65d6463feb8d654dde12a7ef_pf.jpg', 'http://localhost:3306/65d6463feb8d654dde12a7ef_pf.jpg']",2024-02-22 00:21:43,Accepted,[],Part1
"['http://localhost:3306/65d6463feb8d654dde12a7f0_pf.jpg', 'http://localhost:3306/65d6463feb8d654dde12a7f0_pf.jpg']",2024-02-22 00:21:43,Accepted,[],Part1
"['http://localhost:3306/65d64640eb8d654dde12a7f1_pf.jpg', 'http://localhost:3306/65d64640eb8d654dde12a7f1_pf.jpg']",2024-02-22 00:21:44,Accepted,[],Part1
"['http://localhost:3306/65d64641eb8d654dde12a7f2_pf.jpg', 'http://localhost:3306/65d64641eb8d654dde12a7f2_pf.jpg']",2024-02-22 00:21:45,Accepted,[],Part1
"['http://localhost:3306/65d64641eb8d654dde12a7f3_pf.jpg', 'http://localhost:3306/65d64641eb8d654dde12a7f3_pf.jpg']",2024-02-22 00:21:45,Accepted,[],Part1
"['http://localhost:3306/65d64642eb8d654dde12a7f4_pf.jpg', 'http://localhost:3306/65d64642eb8d654dde12a7f4_pf.jpg']",2024-02-22 00:21:46,Accepted,[],Part1
"['http://localhost:3306/65d64643eb8d654dde12a7f5_pf.jpg', 'http://localhost:3306/65d64643eb8d654dde12a7f5_pf.jpg']",2024-02-22 00:21:47,Accepted,[],Part1
"['http://localhost:3306/65d64643eb8d654dde12a7f6_pf.jpg', 'http://localhost:3306/65d64643eb8d654dde12a7f6_pf.jpg']",2024-02-22 00:21:47,Accepted,[],Part1
"['http://localhost:3306/65d64644eb8d654dde12a7f7_pf.jpg', 'http://localhost:3306/65d64644eb8d654dde12a7f7_pf.jpg']",2024-02-22 00:21:48,Accepted,[],Part1
"['http://localhost:3306/65d64644eb8d654dde12a7f8_pf.jpg', 'http://localhost:3306/65d64644eb8d654dde12a7f8_pf.jpg']",2024-02-22 00:21:48,Accepted,[],Part1
"['http://localhost:3306/65d64645eb8d654dde12a7f9_pf.jpg', 'http://localhost:3306/65d64645eb8d654dde12a7f9_pf.jpg']",2024-02-22 00:21:49,Accepted,[],Part1
"['http://localhost:3306/65d64646eb8d654dde12a7fa_pf.jpg', 'http://localhost:3306/65d64646eb8d654dde12a7fa_pf.jpg']",2024-02-22 00:21:50,Accepted,[],Part1
"['http://localhost:3306/65d64647eb8d654dde12a7fb_pf.jpg', 'http://localhost:3306/65d64647eb8d654dde12a7fb_pf.jpg']",2024-02-22 00:21:51,Accepted,[],Part1
"['http://localhost:3306/65d64647eb8d654dde12a7fc_pf.jpg', 'http://localhost:3306/65d64647eb8d654dde12a7fc_pf.jpg']",2024-02-22 00:21:51,Accepted,[],Part1
"['http://localhost:3306/65d64648eb8d654dde12a7fd_pf.jpg', 'http://localhost:3306/65d64648eb8d654dde12a7fd_pf.jpg']",2024-02-22 00:21:52,Accepted,[],Part1
"['http://localhost:3306/65d64648eb8d654dde12a7fe_pf.jpg', 'http://localhost:3306/65d64648eb8d654dde12a7fe_pf.jpg']",2024-02-22 00:21:52,Accepted,[],Part1
"['http://localhost:3306/65d64648eb8d654dde12a7ff_pf.jpg', 'http://localhost:3306/65d64648eb8d654dde12a7ff_pf.jpg']",2024-02-22 00:21:52,Accepted,[],Part1
"['http://localhost:3306/65d64649eb8d654dde12a800_pf.jpg', 'http://localhost:3306/65d64649eb8d654dde12a800_pf.jpg']",2024-02-22 00:21:53,Accepted,[],Part1
"['http://localhost:3306/65d64649eb8d654dde12a801_pf.jpg', 'http://localhost:3306/65d64649eb8d654dde12a801_pf.jpg']",2024-02-22 00:21:53,Accepted,[],Part1
"['http://localhost:3306/65d64649eb8d654dde12a802_pf.jpg', 'http://localhost:3306/65d64649eb8d654dde12a802_pf.jpg']",2024-02-22 00:21:53,Accepted,[],Part1
"['http://localhost:3306/65d64649eb8d654dde12a803_pf.jpg', 'http://localhost:3306/65d64649eb8d654dde12a803_pf.jpg']",2024-02-22 00:21:53,Accepted,[],Part1
"['http://localhost:3306/65d6464aeb8d654dde12a804_pf.jpg', 'http://localhost:3306/65d6464aeb8d654dde12a804_pf.jpg']",2024-02-22 00:21:54,Accepted,[],Part1
